SalePrice,OverallQual,OverallCond,BedroomAbvGr,TotRmsAbvGrd,GrLivArea,TotalBsmtSF,YearBuilt,MSZoning,Utilities,BldgType,Categoria
149350,5,6,3,6,1228,1228,1966,RL,AllPub,1Fam,barata
179900,8,5,3,7,1234,1234,2007,RL,AllPub,1Fam,barata
165500,5,5,4,6,1700,1398,1959,RL,AllPub,1Fam,barata
277500,9,5,2,6,1561,1561,2005,RL,AllPub,TwnhsE,cara
309000,8,5,4,9,2452,1117,2004,RL,AllPub,1Fam,cara
145000,5,5,3,6,1097,1097,1994,RL,AllPub,1Fam,barata
153000,5,6,3,5,1297,1297,1954,RL,AllPub,1Fam,barata
109000,5,7,3,5,1057,1057,1953,RL,AllPub,1Fam,barata
82000,4,5,2,6,1152,0,1955,RL,AllPub,Duplex,barata
160000,6,5,3,6,1324,1088,1965,RL,AllPub,1Fam,barata
170000,5,6,2,5,1328,1350,1959,RL,AllPub,1Fam,barata
144000,5,7,2,5,884,840,1983,RL,AllPub,1Fam,barata
130250,5,6,3,5,938,938,1975,RL,AllPub,1Fam,barata
141000,5,6,3,6,1150,1150,1959,RL,AllPub,1Fam,barata
319900,9,5,2,6,1752,1752,2005,RL,AllPub,TwnhsE,cara
239686,7,5,1,6,2149,1434,2003,RL,AllPub,1Fam,cara
249700,8,5,3,7,1656,1656,2006,FV,AllPub,1Fam,cara
113000,4,5,2,8,1452,736,1920,RM,AllPub,2fmCon,barata
127000,5,7,3,6,955,955,1966,RL,AllPub,1Fam,barata
177000,6,6,3,6,1470,794,1997,RL,AllPub,1Fam,barata
114500,6,6,3,6,1176,816,1934,RM,AllPub,1Fam,barata
110000,5,5,2,5,816,816,1963,RM,AllPub,Duplex,barata
385000,9,5,0,5,1842,1842,1981,RL,AllPub,1Fam,cara
130000,5,5,3,6,1360,384,1955,RL,AllPub,1Fam,barata
180500,6,5,3,7,1425,1425,1964,RL,AllPub,1Fam,barata
172500,8,5,3,7,1739,970,1999,FV,AllPub,Twnhs,barata
196500,7,5,3,7,1720,860,2004,RL,AllPub,1Fam,barata
438780,10,5,3,10,2945,1410,2006,RL,AllPub,1Fam,cara
124900,5,7,2,4,780,780,1972,RL,AllPub,1Fam,barata
158000,6,5,3,5,1158,1158,2004,RL,AllPub,1Fam,barata
101000,5,7,3,6,1111,530,1920,RM,AllPub,1Fam,barata
202500,8,5,2,6,1370,1370,2006,RL,AllPub,TwnhsE,barata
140000,7,6,3,9,1710,576,1921,RM,AllPub,1Fam,barata
219500,7,5,3,8,2034,1057,1997,RL,AllPub,1Fam,cara
317000,8,5,4,9,2473,1143,2004,RL,AllPub,1Fam,cara
180000,7,5,3,7,2207,1947,1970,RL,AllPub,1Fam,barata
226000,7,5,3,7,1479,1453,2003,RL,AllPub,1Fam,cara
80000,4,6,2,4,747,747,1945,RM,AllPub,1Fam,barata
225000,7,4,3,7,2287,1304,1953,RL,AllPub,1Fam,cara
244000,7,6,3,8,2223,2223,1973,RL,AllPub,1Fam,cara
129500,4,6,2,4,845,845,1982,RL,AllPub,1Fam,barata
185000,7,5,3,7,1718,832,1998,RL,AllPub,1Fam,barata
144900,5,7,3,6,1086,1086,1954,RL,AllPub,1Fam,barata
107400,3,6,3,8,1605,840,1915,RM,AllPub,1Fam,barata
91000,4,5,2,5,988,462,1973,RM,AllPub,Twnhs,barata
135750,4,7,2,4,952,952,1956,RL,AllPub,1Fam,barata
127000,5,5,2,6,1285,672,1948,RM,AllPub,1Fam,barata
136500,4,5,4,8,1768,1768,1968,RL,AllPub,Duplex,barata
110000,5,6,2,5,1230,440,1910,RM,AllPub,1Fam,barata
193500,6,6,4,8,2142,896,1968,RL,AllPub,1Fam,barata
153500,6,5,2,5,1337,1237,1998,RM,AllPub,TwnhsE,barata
245000,8,5,3,6,1563,1563,2007,RL,AllPub,1Fam,cara
126500,5,5,3,6,1065,1065,1960,RL,AllPub,1Fam,barata
168500,7,5,3,7,1474,384,1995,RL,AllPub,1Fam,barata
260000,8,5,4,9,2417,1288,1991,RL,AllPub,1Fam,cara
174000,6,5,3,6,1560,684,2005,RL,AllPub,1Fam,barata
164500,6,5,2,4,1224,612,2009,FV,AllPub,TwnhsE,barata
85000,3,2,2,6,1526,1013,1915,C (all),AllPub,1Fam,barata
123600,4,5,3,5,990,990,1994,RL,AllPub,1Fam,barata
109900,4,5,2,4,1040,0,1950,RL,AllPub,1Fam,barata
98600,5,3,2,6,1235,1235,1961,RL,AllPub,1Fam,barata
163500,5,7,2,5,964,876,1921,RL,AllPub,1Fam,barata
133900,6,6,4,9,2291,1214,1910,C (all),AllPub,2fmCon,barata
204750,6,5,3,7,1786,824,1997,RL,AllPub,1Fam,barata
185000,6,8,3,6,1470,680,1993,RL,AllPub,1Fam,barata
214000,7,5,3,6,1588,1588,1999,RL,AllPub,1Fam,barata
94750,4,5,3,6,960,960,1965,RL,AllPub,1Fam,barata
83000,5,5,2,5,835,458,1920,RL,AllPub,1Fam,barata
128950,4,5,3,6,1225,950,1959,RL,AllPub,1Fam,barata
205000,6,7,3,6,1610,1610,1977,RL,AllPub,1Fam,barata
178000,6,5,3,7,1732,741,1985,RL,AllPub,1Fam,barata
118964,5,5,4,8,1535,0,1979,RL,AllPub,Duplex,barata
198900,7,5,3,6,1226,1226,2009,RL,AllPub,1Fam,barata
169500,7,4,4,7,1818,1040,1931,RM,AllPub,1Fam,barata
250000,8,5,3,9,1992,1053,2003,FV,AllPub,1Fam,cara
100000,4,7,2,6,1047,641,1885,RM,AllPub,1Fam,barata
115000,5,5,2,5,789,789,1948,RM,AllPub,1Fam,barata
115000,5,7,3,7,1517,793,1919,RM,AllPub,1Fam,barata
190000,6,6,3,7,1844,1844,1977,RL,AllPub,1Fam,barata
136900,6,4,4,7,1855,994,1954,RL,AllPub,1Fam,barata
180000,7,5,3,7,1430,384,2000,RL,AllPub,1Fam,barata
383970,7,5,4,10,2696,1264,2007,RL,AllPub,1Fam,cara
217000,6,5,3,7,2259,1809,1953,RL,AllPub,1Fam,cara
259500,6,8,3,9,2320,1028,1945,RL,AllPub,1Fam,cara
176000,6,5,2,5,1458,729,1999,FV,AllPub,TwnhsE,barata
139000,5,5,3,6,1092,1092,1962,RL,AllPub,1Fam,barata
155000,5,5,2,5,1125,1125,2006,RL,AllPub,1Fam,barata
320000,7,5,5,11,3222,1673,1990,RL,AllPub,1Fam,cara
163990,6,5,3,8,1456,728,2005,RL,AllPub,1Fam,barata
180000,6,5,1,4,988,938,1969,RL,AllPub,1Fam,barata
100000,4,5,3,4,1123,732,1939,RM,AllPub,1Fam,barata
136000,6,7,3,5,1080,1080,1958,RL,AllPub,1Fam,barata
153900,6,5,2,5,1199,1199,1993,RL,AllPub,TwnhsE,barata
181000,6,5,3,7,1586,1362,1979,RL,AllPub,1Fam,barata
84500,6,8,2,5,754,520,1935,RM,AllPub,2fmCon,barata
128000,6,5,2,5,958,1078,1976,RL,AllPub,TwnhsE,barata
87000,5,7,3,5,840,672,1930,RM,AllPub,1Fam,barata
155000,6,5,3,6,1348,660,1966,RL,AllPub,1Fam,barata
150000,5,7,3,6,1053,1008,1958,RL,AllPub,1Fam,barata
226000,7,6,4,8,2157,924,1966,RL,AllPub,1Fam,cara
244000,6,5,3,7,2054,992,2000,RL,AllPub,1Fam,cara
150750,5,6,3,7,1327,1063,1959,RL,AllPub,1Fam,barata
220000,8,5,2,6,1296,1267,2001,RL,AllPub,1Fam,cara
180000,5,6,3,7,1721,1461,1968,RL,AllPub,1Fam,barata
174000,7,6,3,7,1682,1304,1970,RL,AllPub,1Fam,barata
143000,5,5,3,5,1214,1214,1967,RL,AllPub,1Fam,barata
171000,7,5,5,9,1959,1907,1988,RL,AllPub,Duplex,barata
230000,8,5,3,7,1852,1004,1999,RL,AllPub,1Fam,cara
231500,6,5,3,7,1764,928,1997,RL,AllPub,1Fam,cara
115000,4,5,3,5,864,864,1971,RL,AllPub,1Fam,barata
260000,7,5,3,7,1734,1734,2005,RL,AllPub,1Fam,cara
166000,5,4,4,6,1385,910,1952,RL,AllPub,1Fam,barata
204000,7,5,3,6,1501,1490,1999,RL,AllPub,1Fam,barata
125000,5,5,6,10,1728,1728,1963,RM,AllPub,Duplex,barata
130000,6,5,3,7,1709,970,2004,RM,AllPub,Twnhs,barata
105000,5,7,2,5,875,715,1931,RM,AllPub,1Fam,barata
222500,7,5,3,8,2035,884,2001,RL,AllPub,1Fam,cara
141000,7,5,3,6,1080,1080,2004,RL,AllPub,1Fam,barata
115000,5,4,3,7,1344,896,1936,RM,AllPub,1Fam,barata
122000,5,6,3,5,969,969,1975,RL,AllPub,1Fam,barata
372402,8,5,2,6,1710,1710,2007,RL,AllPub,1Fam,cara
190000,6,5,4,8,1993,825,1971,RL,AllPub,1Fam,barata
235000,6,7,1,4,1252,1602,1960,RL,AllPub,1Fam,cara
125000,6,5,4,7,1200,1200,1923,RM,AllPub,1Fam,barata
79000,6,5,2,5,1096,572,1924,RL,AllPub,1Fam,barata
109500,5,7,2,5,1040,0,1950,RL,AllPub,1Fam,barata
269500,8,5,4,8,1968,774,2009,RL,AllPub,1Fam,cara
254900,7,5,3,8,1947,991,2004,FV,AllPub,1Fam,cara
320000,7,5,4,9,2462,1392,2005,RL,AllPub,1Fam,cara
162500,6,6,3,6,1232,1232,1984,RL,AllPub,1Fam,barata
412500,9,5,3,10,2668,1572,2003,RL,AllPub,1Fam,cara
220000,7,5,3,7,1541,1541,2005,RL,AllPub,1Fam,cara
103200,4,6,1,4,882,882,1956,RL,AllPub,1Fam,barata
152000,6,7,3,5,1616,1149,1926,RM,AllPub,1Fam,barata
127500,5,7,4,6,1355,644,1940,RL,AllPub,2fmCon,barata
190000,5,5,2,7,1867,1617,1955,RL,AllPub,1Fam,barata
325624,8,5,3,8,2161,1582,2007,RL,AllPub,1Fam,cara
183500,7,5,3,7,1720,840,2004,RL,AllPub,1Fam,barata
228000,8,6,2,6,1707,1686,1981,RL,AllPub,1Fam,cara
128500,5,6,2,7,1382,720,1941,RM,AllPub,1Fam,barata
215000,6,5,3,7,1656,1080,1960,RL,AllPub,1Fam,cara
239000,7,7,2,5,1767,1064,1987,RL,AllPub,TwnhsE,cara
163000,6,5,3,6,1362,1362,1961,RL,AllPub,1Fam,barata
184000,6,5,3,7,1651,1606,1986,RL,AllPub,1Fam,barata
243000,6,7,4,7,2158,1202,1950,RL,AllPub,1Fam,cara
211000,6,5,4,8,2060,1151,1988,RL,AllPub,1Fam,barata
172500,5,5,4,8,1920,1052,1958,RL,AllPub,1Fam,barata
501837,9,5,1,9,2234,2216,2008,RL,AllPub,1Fam,cara
100000,5,6,2,5,968,968,1923,RM,AllPub,1Fam,barata
177000,6,5,3,5,1525,756,2000,FV,AllPub,Twnhs,barata
200100,7,6,4,9,1802,793,1920,RL,AllPub,1Fam,barata
120000,5,6,3,7,1340,0,1957,RL,AllPub,1Fam,barata
200000,7,5,3,6,2082,1362,2003,RM,AllPub,1Fam,barata
127000,5,8,3,5,1252,504,1908,RL,AllPub,1Fam,barata
475000,10,9,4,12,3608,1107,1892,RM,AllPub,1Fam,cara
173000,7,5,3,6,1217,1188,1990,RL,AllPub,1Fam,barata
135000,5,7,3,8,1656,660,1916,RL,AllPub,1Fam,barata
153337,5,5,2,6,1224,1086,1979,RL,AllPub,Duplex,barata
286000,8,5,0,5,1593,1593,2001,RL,AllPub,TwnhsE,cara
315000,8,8,3,10,2727,853,1932,RL,AllPub,1Fam,cara
184000,7,9,4,7,1479,725,1972,RL,AllPub,1Fam,barata
192000,7,5,3,6,1431,1431,1999,RL,AllPub,1Fam,barata
130000,7,5,3,7,1709,970,2004,RM,AllPub,Twnhs,barata
127000,5,7,3,5,864,864,1972,RL,AllPub,1Fam,barata
148500,6,6,3,7,1456,855,1976,RL,AllPub,Twnhs,barata
311872,7,5,3,8,1726,1726,2007,RL,AllPub,1Fam,cara
235000,8,4,4,8,3112,1360,1918,RL,AllPub,1Fam,cara
104000,6,6,5,8,2229,755,1912,RM,AllPub,1Fam,barata
274900,8,5,3,7,1713,1713,2004,RL,AllPub,1Fam,cara
140000,4,5,2,5,1121,1121,2003,RM,AllPub,1Fam,barata
171500,6,6,3,6,1279,1196,1977,RL,AllPub,1Fam,barata
112000,6,6,2,6,1310,617,1924,RL,AllPub,1Fam,barata
149000,6,5,1,3,848,848,2004,RM,AllPub,TwnhsE,barata
110000,5,7,2,5,1284,720,1947,RM,AllPub,1Fam,barata
180500,7,5,3,5,1442,1424,1990,RL,AllPub,1Fam,barata
143900,5,5,3,8,1696,1140,1962,RL,AllPub,1Fam,barata
141000,4,5,3,6,1100,1100,1960,RL,AllPub,1Fam,barata
277000,7,5,3,7,2062,1157,1988,RL,AllPub,1Fam,cara
145000,6,7,3,6,1092,1092,1964,RL,AllPub,1Fam,barata
98000,5,6,2,5,864,864,1925,RL,AllPub,1Fam,barata
186000,6,5,3,6,1212,1212,2009,RL,AllPub,1Fam,barata
252678,7,5,3,7,1852,900,2009,FV,AllPub,1Fam,cara
156000,5,5,3,5,990,990,1995,RL,AllPub,1Fam,barata
161750,6,7,3,6,1392,689,1977,RL,AllPub,1Fam,barata
134450,5,6,2,6,1236,1070,1957,RL,AllPub,1Fam,barata
210000,7,5,3,8,1436,1436,2004,RL,AllPub,1Fam,barata
107000,4,4,3,8,1328,686,1925,RM,AllPub,1Fam,barata
311500,7,9,3,8,1954,798,1939,RL,AllPub,1Fam,cara
167240,7,5,2,5,1248,1248,2005,RL,AllPub,TwnhsE,barata
204900,7,5,2,5,1498,1498,2006,RL,AllPub,1Fam,barata
200000,6,5,4,8,2267,1010,2002,RL,AllPub,1Fam,barata
179900,6,6,3,6,1552,713,1975,RL,AllPub,1Fam,barata
97000,4,6,2,4,864,864,1971,RL,AllPub,1Fam,barata
386250,10,5,3,8,2392,2392,2003,RL,AllPub,1Fam,cara
112000,5,5,3,6,1302,630,1971,RM,AllPub,Twnhs,barata
290000,7,5,4,9,2520,1203,1995,RL,AllPub,1Fam,cara
106000,6,6,2,5,987,483,1970,RM,AllPub,Twnhs,barata
125000,5,5,3,5,912,912,1967,RL,AllPub,1Fam,barata
192500,7,5,2,7,1555,1373,2005,RL,AllPub,TwnhsE,barata
148000,6,6,3,6,1194,1194,1959,RL,AllPub,1Fam,barata
403000,8,5,4,9,2794,1462,1995,RL,AllPub,1Fam,cara
94500,6,5,2,5,987,483,1972,RM,AllPub,Twnhs,barata
128200,5,6,3,5,894,894,1976,RL,AllPub,1Fam,barata
216500,6,5,4,8,1960,860,2002,RL,AllPub,1Fam,cara
89500,6,3,2,5,987,483,1971,RM,AllPub,TwnhsE,barata
185500,7,5,3,6,1414,1414,2004,RL,AllPub,1Fam,barata
194500,7,7,3,7,1744,996,1993,RL,AllPub,1Fam,barata
318000,8,5,3,7,1694,1694,2007,RL,AllPub,1Fam,cara
113000,6,4,3,7,1487,735,1945,RL,AllPub,1Fam,barata
262500,8,5,3,7,1566,1566,2008,FV,AllPub,1Fam,cara
110500,5,9,2,4,866,686,1945,RM,AllPub,1Fam,barata
79000,5,4,3,6,1440,540,1900,RM,AllPub,1Fam,barata
120000,6,6,3,6,1217,626,1980,RL,AllPub,TwnhsE,barata
205000,7,5,3,8,2110,948,1994,RL,AllPub,1Fam,barata
241500,7,5,3,6,1872,1845,1988,RL,AllPub,1Fam,cara
137000,6,8,4,9,1928,1020,1910,RM,AllPub,2fmCon,barata
140000,6,5,2,5,1375,1367,1954,RL,AllPub,1Fam,barata
180000,7,5,3,8,1668,840,2003,RL,AllPub,1Fam,barata
277000,6,7,4,7,2144,1444,1958,RL,AllPub,1Fam,cara
76500,3,2,3,6,1306,728,1940,RL,AllPub,1Fam,barata
235000,8,5,2,5,1625,1573,2006,RM,AllPub,TwnhsE,cara
173000,6,5,3,6,1640,798,2004,RL,AllPub,1Fam,barata
158000,6,7,3,7,1302,1302,1964,RL,AllPub,1Fam,barata
145000,5,6,3,5,1314,1314,1957,RL,AllPub,1Fam,barata
230000,7,5,4,8,2291,975,1999,RL,AllPub,1Fam,cara
207500,6,5,3,7,1728,864,2003,FV,AllPub,1Fam,barata
220000,7,5,3,8,1604,1604,2006,RL,AllPub,1Fam,cara
231500,7,5,3,7,1792,963,2001,RL,AllPub,1Fam,cara
97000,5,5,2,4,882,0,1956,RM,AllPub,1Fam,barata
176000,6,5,3,6,1382,1362,1962,RL,AllPub,1Fam,barata
276000,8,5,3,10,2574,1482,2007,RL,AllPub,1Fam,cara
151000,6,7,3,6,1212,506,1977,RL,AllPub,1Fam,barata
130000,5,7,3,6,1316,926,1929,RM,AllPub,1Fam,barata
73000,5,5,2,4,764,680,1925,RM,AllPub,1Fam,barata
175500,6,6,3,7,1422,1422,1981,RL,AllPub,1Fam,barata
185000,6,5,3,8,1511,802,1997,RL,AllPub,1Fam,barata
179500,5,8,4,8,2192,720,1939,RL,AllPub,1Fam,barata
120500,5,6,2,4,778,740,1940,RM,AllPub,1Fam,barata
148000,6,7,3,6,1113,1143,1976,RL,AllPub,1Fam,barata
266000,8,5,3,8,1939,1095,2006,FV,AllPub,1Fam,cara
241500,7,7,2,5,1363,1385,1954,RL,AllPub,1Fam,cara
290000,8,7,4,9,2270,1152,1999,RL,AllPub,1Fam,cara
139000,6,6,3,6,1632,1240,1958,RL,AllPub,1Fam,barata
124500,5,7,2,5,816,816,1982,RL,AllPub,1Fam,barata
205000,7,7,3,5,1548,952,1925,RL,AllPub,1Fam,barata
201000,7,5,3,7,1560,1560,2003,RL,AllPub,1Fam,barata
141000,4,5,2,4,864,864,1951,RL,AllPub,1Fam,barata
415298,9,5,3,8,2121,2121,2006,RL,AllPub,1Fam,cara
192000,7,5,4,8,2022,1160,1977,RL,AllPub,1Fam,barata
228500,7,6,3,7,1982,807,1989,RL,AllPub,1Fam,cara
185000,6,5,2,5,1262,1262,2006,FV,AllPub,1Fam,barata
207500,7,5,2,6,1314,1314,2007,RL,AllPub,Twnhs,barata
244600,8,5,3,6,1468,1468,2008,RL,AllPub,1Fam,cara
179200,6,5,2,5,1575,1575,1992,RL,AllPub,TwnhsE,barata
164700,7,5,2,5,1250,625,2006,FV,AllPub,TwnhsE,barata
159000,6,7,3,7,1734,912,1962,RL,AllPub,1Fam,barata
88000,4,4,3,5,858,858,1971,RL,AllPub,1Fam,barata
122000,5,5,3,5,900,882,1967,RL,AllPub,1Fam,barata
153575,6,7,3,7,1396,698,1915,RL,AllPub,1Fam,barata
233230,8,5,3,8,1919,1079,2006,RL,AllPub,1Fam,cara
135900,5,6,6,9,1716,780,1912,RL,AllPub,2fmCon,barata
131000,5,4,3,8,1716,768,1949,RL,AllPub,1Fam,barata
235000,7,7,3,9,2263,795,1977,RL,AllPub,1Fam,cara
167000,6,5,3,7,1644,1416,1953,RL,AllPub,1Fam,barata
142500,6,6,3,6,1003,1003,1984,RL,AllPub,1Fam,barata
152000,5,5,4,6,1558,910,1950,RM,AllPub,1Fam,barata
239000,7,5,3,7,1950,975,1997,FV,AllPub,1Fam,cara
175000,6,6,3,7,1743,702,1968,RL,AllPub,1Fam,barata
158500,6,8,3,6,1152,1092,1950,RL,AllPub,1Fam,barata
157000,5,5,2,5,1336,1165,1953,RL,AllPub,2fmCon,barata
267000,8,5,4,9,2452,1028,1998,RL,AllPub,1Fam,cara
205000,7,5,3,6,1541,1541,2001,RL,AllPub,1Fam,barata
149900,5,7,3,5,894,894,1972,RL,AllPub,1Fam,barata
295000,7,9,3,10,3493,1470,1880,RM,AllPub,1Fam,cara
305900,8,5,3,8,2000,2000,2004,RL,AllPub,1Fam,cara
225000,7,5,4,8,2243,700,1990,RL,AllPub,1Fam,cara
89500,6,7,3,6,1406,319,1920,RM,AllPub,1Fam,barata
82500,4,5,1,4,861,861,1940,RL,AllPub,1Fam,barata
360000,9,5,3,8,1944,1896,2003,RL,AllPub,1Fam,cara
165600,6,5,3,6,1501,697,1993,RL,AllPub,1Fam,barata
132000,6,6,2,5,972,972,1948,RL,AllPub,1Fam,barata
119900,5,7,3,5,1118,793,1939,RM,AllPub,2fmCon,barata
375000,7,5,3,8,2036,2136,1965,RL,AllPub,1Fam,cara
178000,7,7,3,6,1641,728,1925,RM,AllPub,1Fam,barata
188500,7,5,3,6,1432,716,2004,RL,AllPub,1Fam,barata
260000,7,7,4,10,2353,845,1980,RL,AllPub,1Fam,cara
270000,8,5,3,8,1959,1088,2006,FV,AllPub,1Fam,cara
260000,7,5,4,9,2646,1347,1993,RL,AllPub,1Fam,cara
187500,7,5,3,6,1472,1372,1980,RL,AllPub,1Fam,barata
342643,9,5,4,9,2596,1249,2006,RL,AllPub,1Fam,cara
354000,8,5,4,10,2468,1136,2004,RL,AllPub,1Fam,cara
301000,7,5,4,8,2730,1502,1986,RL,AllPub,1Fam,cara
126175,3,8,3,6,1163,1162,1955,RM,AllPub,1Fam,barata
242000,7,7,5,11,2978,710,1967,RL,AllPub,1Fam,cara
87000,5,6,2,5,803,720,1941,RM,AllPub,1Fam,barata
324000,8,5,1,6,1719,1719,1993,RL,AllPub,TwnhsE,cara
145250,6,5,3,7,1383,1383,1960,RL,AllPub,1Fam,barata
214500,6,6,5,10,2134,844,1916,RL,AllPub,1Fam,cara
78000,5,5,3,6,1192,596,1920,RM,AllPub,1Fam,barata
119000,5,4,6,10,1728,1728,1964,RL,AllPub,Duplex,barata
139000,5,6,3,6,1056,1056,1958,RL,AllPub,1Fam,barata
284000,8,5,3,7,1629,3206,2003,RL,AllPub,1Fam,cara
207000,7,5,2,6,1358,1358,2004,RM,AllPub,TwnhsE,barata
192000,6,5,3,7,1638,943,1998,RL,AllPub,1Fam,barata
228950,5,6,3,7,1786,1499,1965,RL,AllPub,2fmCon,cara
377426,9,5,3,8,1922,1922,2005,RL,AllPub,1Fam,cara
214000,7,5,3,7,1536,1536,2002,RL,AllPub,1Fam,barata
202500,7,7,3,8,1621,1208,1984,RL,AllPub,1Fam,barata
155000,6,7,3,6,1215,1215,1958,RL,AllPub,1Fam,barata
202900,8,5,4,9,1908,967,2002,RL,AllPub,1Fam,barata
82000,4,4,2,4,841,721,1950,RH,AllPub,1Fam,barata
87500,3,4,2,6,1040,0,1949,RL,AllPub,Duplex,barata
266000,9,5,2,6,1684,1684,2005,RL,AllPub,TwnhsE,cara
85000,5,3,3,4,1112,536,1976,RM,AllPub,TwnhsE,barata
140200,6,5,3,6,1577,972,1939,RL,AllPub,1Fam,barata
151500,6,8,2,5,958,958,1960,RL,AllPub,1Fam,barata
157500,6,5,3,6,1478,1478,1960,RL,AllPub,1Fam,barata
154000,7,5,2,6,1626,764,2003,RL,AllPub,Twnhs,barata
437154,9,5,4,10,2728,1848,2005,RL,AllPub,1Fam,cara
318061,9,5,2,6,1869,1869,2007,RL,AllPub,TwnhsE,cara
190000,7,5,2,6,1453,1453,1986,RL,AllPub,1Fam,barata
95000,5,6,3,5,1111,616,1941,RL,AllPub,1Fam,barata
105900,6,8,2,5,720,624,1928,RM,AllPub,1Fam,barata
140000,6,5,2,6,1595,940,1940,RL,AllPub,1Fam,barata
177500,6,5,3,6,1200,1200,1995,RL,AllPub,1Fam,barata
173000,6,6,3,6,1167,1158,1992,RL,AllPub,1Fam,barata
134000,5,5,3,6,1142,1142,1976,RM,AllPub,TwnhsE,barata
130000,5,4,3,6,1352,1062,1958,RL,AllPub,1Fam,barata
280000,8,5,3,7,1924,1086,1998,RL,AllPub,1Fam,cara
156000,6,6,2,5,912,888,1978,RL,AllPub,1Fam,barata
145000,5,5,3,8,1505,883,1940,RL,AllPub,1Fam,barata
198500,7,5,4,7,1922,0,2003,RL,AllPub,1Fam,barata
118000,6,8,2,5,987,483,1972,RM,AllPub,Twnhs,barata
190000,6,5,3,6,1574,796,1976,RL,AllPub,1Fam,barata
147000,5,7,3,6,1344,672,1920,RM,AllPub,1Fam,barata
159000,6,5,3,6,1394,1394,1963,RL,AllPub,1Fam,barata
165000,6,5,3,6,1431,1099,1962,RL,AllPub,1Fam,barata
132000,5,6,2,7,1268,1268,1954,RL,AllPub,1Fam,barata
162000,5,7,3,7,1287,1063,1959,RL,AllPub,1Fam,barata
172400,6,5,3,7,1664,953,2000,RL,AllPub,1Fam,barata
134432,4,4,4,7,1588,0,1959,RL,AllPub,1Fam,barata
125000,6,5,2,4,752,744,1984,RL,AllPub,TwnhsE,barata
123000,5,6,3,5,1319,608,1953,RL,AllPub,1Fam,barata
219500,7,5,4,8,1928,847,2003,RL,AllPub,1Fam,cara
61000,1,1,1,4,904,683,1922,RL,AllPub,1Fam,barata
148000,5,5,2,5,914,870,1996,RL,AllPub,1Fam,barata
340000,8,5,4,8,2466,1580,2004,FV,AllPub,1Fam,cara
394432,9,2,1,8,1856,1856,2010,RL,AllPub,1Fam,cara
179000,6,5,3,7,1800,982,2000,RL,AllPub,1Fam,barata
127000,5,6,3,6,1691,1026,1924,RL,AllPub,1Fam,barata
187750,7,5,2,5,1301,1293,2006,FV,AllPub,1Fam,barata
213500,7,5,3,8,1797,939,2006,RL,AllPub,1Fam,barata
76000,6,3,2,5,784,784,1928,RH,AllPub,1Fam,barata
240000,6,5,3,9,1953,1580,1992,RL,AllPub,1Fam,cara
192000,8,5,2,6,1269,1256,2004,RL,AllPub,TwnhsE,barata
81000,5,3,5,8,1184,658,1910,RL,AllPub,1Fam,barata
125000,6,6,3,6,1125,1041,1976,RL,AllPub,1Fam,barata
